"","0.9","0.95","0.99"
"AGG",0.00501417907415483,0.00664073950523803,0.0123173756161932
"HYG",0.0141246651293163,0.0202975478071545,0.0401286792074753
"TIP",0.00717823329266856,0.0090998773521542,0.014712246506863
"BCOM",0.0171284404339467,0.0219744605040445,0.0354755140631973
"G0O1",5.55785020107746e-05,9.85639501134665e-05,0.000312587294716204
"MXEA",0.0173718848048066,0.0225681965487698,0.0376020816585639
"MXEF",0.0210609078174265,0.0275440213360568,0.046706564924561
"RAY",0.0195003558578519,0.0255535552373327,0.044182107616538
"RMZ",0.0399253665460836,0.0561888453205071,0.0998897657796849
"SPX",0.0170545080974,0.0222546373257343,0.0379599939594458
"USGG10YR",0.0227641300282185,0.0299391725430086,0.0488751042854184
